Archivo,Texto
10015,ec state tax major european commun ec member state strong reserv tax import oil fat propos european commiss senior diplomat special committe agricultur expert ec member state voic strong object measur meet charg prepar ground annual ec farm begin monday ad franc itali support commiss propos lead tax initi ecu tonn price round
10018,gould lt gld complet sale french batteri unit gould complet sale french batteri busi compagni francais chimi group investor includ unit employe lt gnb minnesota gould disclos term deal gould move part previous announc plan divest asset unrel comput electron busi
10023,shoe town lt shu year end jan shr ct ct net rev mln mln note year net includ loss dlr ct share dlr ct share discontinu oper year end decemb
10025,wisconsin lt fwb buy minnesota bank wisconsin corp plan acquir shelard bancshar mln dlr cash acquisit bank wisconsin shelard hold compani bank total asset mln dlr wisconsin asset yearend billion dlr shelard purchas price time earn bank shelard bank total offic paul area
10027,american nurseri product lt ansi qtr net period end feb shr profit ct profit ct net profit profit sale mth shr loss ct loss ct net loss loss sale avg shr note full american nurseri product
1003,nation fsi lt nfsi qtr loss shr loss ct profit ct net loss profit rev year shr loss ct profit ct net loss profit rev mln mln note year figur pro forma purchas account adjust result march reeacquisit compani origin sharehold august initi public offer
10032,discu corp lt disc qtr loss shr loss ct loss ct net loss loss rev mln mln year shr loss ct loss ct net loss loss rev mln mln
10035,entertain public see qtr loss unit dispos entertain public see qtr loss unit dispos
10037,pay pak store lt pnp qtr feb net shr ct ct net rev mln mln year shr ct ct net rev mln mln
10038,correct mobil lt mob upgrad refineri unit mobil corp spend mln dlr upgrad unit beaumont texa refineri unit catalyt reform convert compon gasolin compon super unlead gasolin compani modern unit regener catalyst continu basi shutdown shut year unit produc barrel gasolin compon day construct start late year complet set correct unit output
10040,american nurseri product lt ansi qtr net qtr end feb shr profit ct profit ct net profit profit rev avg shr mln mln mth shr loss ct loss ct net loss loss rev avg shr mln mln note full american nurseri product
10041,volvo result slightli ab volvo lt weaken dollar caus drop profit compani chief execut pehr gyllenhammar volvo year final report releas earlier compani group profit alloc tax billion crown compar billion fall gyllenhammar sale industri product higher volvo car volvo truck complet sold oper incom slightli higher year earlier compani financi strength gave except opportun invest futur industri sale compani yearend report total sale billion crown billion
10042,lt meridian energi caston end letter intent lt meridian energi caston develop corp compani jointli announc decid termin letter intent meridian acquir caston
10043,report expect sharp drop world iron import world seaborn iron ore import fall sharpli year declin import ec japan partial offset increas demand south east asia report ocean ship consult report predict annual world seaborn iron ore import mln tonn versu mln tonn estim total bulk ship demand iron ore sector fall pct billion tonn mile ship demand coke trade pct billion tonn mile report see ec import fall mln tonn mln japanes import fall mln mln tonn import south east asia rise mln mln tonn predict ec steel product fall mln tonn mln japanes product fall mln mln south korea taiwan expect doubl output mln tonn chines product increas mln tonn mln ad
10046,goldfield corp lt gv qtr net loss shr loss ct loss ct net loss loss rev year shr profit ct loss ct net profit loss rev note exclud loss discontinu oper ct share quarter loss ct year year exclud extraordinari gain ct share
10048,british french minist discuss public spend french financ minist edouard balladur discuss control public spend talk today british chancellor exchequ nigel lawson treasuri spokesman spokesman minist review economi public spend domest european declin comment subject concert action shore dollar arisen currenc dip sharpli earlier week month rel stabil agreement major industrialis nation pari februari stabilis currenc
10049,fed heller urg broad reform aid bank feder reserv board governor robert heller bank system strengthen permit format financi servic hold compani involv area bank insur real estat secur speech prepar deliveri york bank financi analyst associ heller increas diversif geograph product line key strengthen american bank system support idea financi servic hold compani advoc associ bank hold compani regul bank thrift insur invest secur real estat subsidiari handl function line limit extens credit bank institut transact basi heller measur avoid abus special posit hold compani subsidiari heller requir hold compani serv strength bank make commit maintain bank capit word bank allow fail long hold compani posit net worth heller commerci enterpris permit financi servic hold compani provis capit flow financi enterpris heller effect action bank strong corpor hold custom deposit assur incent loot bank remov diversif give access nation intern financi servic corpor unit state heller steadi declin bank world financi leagu tabl arrest permit competit
10050,feder depart store up qtli div pct set stock split feder depart store up qtli div pct set stock split
10052,gould lt gld sell french batteri unit gould sold french batteri unit cie francais chimi group investor includ unit employe lt gnb minnesota term sale disclos unit sale mln dlr
10053,advanc genet scienc lt agsi year loss shr loss ct loss ct net loss loss rev note qtr data
10054,feder depart lt fd rais qtli dividend feder depart store rais quarterli common stock dividend ct share ct increas pct compani approv stock split form pct stock dividend time feder sharehold approv increas number author share mln mln feder dividend payabl basi april sharehold record april share stock split distribut
10057,danzar invest lt dnzr set special dividend danzar invest group receiv mln share lt commonwealth capit settlement debt distribut share stockhold dividend danzar dividend includ commonwealth share hold dividend share danzar share held paid sharehold record april compani
10058,fidel lt fnf unit acquir california concern fidel nation financi fidel nation titl insur subsidiari acquir oper safeco titl insur northern california counti alameda contra costa san mateo term acquisit disclos
10061,home save bank lt hmsb set initi dividend qtli div ct pay april record april
10062,final crop cotton gin final crop cotton gin total run bale bale end season bale season censu bureau bureau upland cotton gin final crop total bale bale bale american pima gin final crop total bale bale crop bale bureau
10064,american brand see record quarter result american brand see record quarter result
10065,bp manag director compani plan hike dlr standard offer bp manag director compani plan hike dlr standard offer
10066,secur lt spc user end merger talk secur pacif corp lt user credit union data process concern mutual agre withdraw merger negoti user sign letter intent merg secur novemb receiv strong show support continu credit union ownership compani credit union commit purchas addit user common user strongest financi posit histori
10067,entertain public lt epub see loss entertain public expect loss ct share quarter dispos unit close compani board approv plan discontinu oper subsidiari primarili involv direct mail market discontinu unit meet growth profit goal compani futur entertain public unit lost dlr ct share month end decemb
10068,industri lt ccn regular payout industi declar regular pct stock dividend common stock class common stock equal pct stock dividend compani paid prior quarter dividend payabl april sharehold record april
1007,lt precambrian shield resourc year loss shr loss dlr profit ct net loss profit rev mln mln note shr net includ dlr writedown oper uneconom coal oper miner properti
10071,dennison manufactur lt dsn sell paper unit dennison manufactur sign letter intent sell dunn paper subsidiari jame river corp lt jr undisclos amount cash result quarter charg earn compani saiud loss sale partli reduc conting payment year quarter offset gain sale hygeia scienc share dunn sale year mln dlr richmond jame river close expect end april subject approv board reach satisfactori labor agreement
10073,pillsburi lt psi file burger king mlp pillsburi file registr statement secur exchang commiss sale limit partnership interest master limit partnership burger king restaur properti pillsburi expect offer yield mln dlr result gain mln dlr spokesman pillsburi compani aim gain fourth fiscal quarter end pillsburi sale occur practic busi legal contig compani burger king pillsburi unit qsv properti master limit gener partner pillsburi expect interest sold public investor list trade york stock exchang merril lynch lead underwrit pillsburi pillsburi sold limit partnership interest burger king investor februari
10074,republ int corp lt oldr hike dividend qtli div ct ct prior pay june record june
10075,fed heller dollar current level fed heller dollar current level
10076,carson piri scott lt crn set dividend qtli div ct ct prior pay june record
10078,bp lt bp plan hike standard lt srd bid british petroleum plc intend rais price plan dlr share offer publicli held pct standard oil bp manag director david simon progress bid game told report news confer bp own pct standard stock simon bp care consid amount plan bid quot oil analyst identifi bp care evalu mean compani rais offer increas total wrong price fair earli specul ligig wait offer run offici declin specul circumst bp rais bid bp offici dlr share offer time standard cash flow pct independ evalu compani asset includ oil natur ga liquid natur ga reserv price royal group lt lt sc paid publicli held shell oil share time cash flow bp offici dlr bid pct premium standard stock price past year bp group treasur rodney chase half billion dlr bp offer exist sourc rest financ debt bp draw cash oper compani world arrang billion dlr line credit explain compani debt equiti ratio rise percentag point current pct offer complet chase ratio back pct month ad chase pct standard oil publicli held share held financi institut simon standard board inform offer march time bp expect regulatori problem delay complet acquisit inform washington intent integr part ownership oil reserv point simon good chanc current world oil price dlr barrel maintain stabl market due polici saudi arabia opec member control oil product signal current condit favor simon hope greater stabil price higher ad
10079,money market mutual fund fall billion dlr latest week ici money market mutual fund fall billion dlr latest week ici
1008,money market mln stg bank england provid money market mln stg assist afternoon session bring bank total today mln stg compar revis shortag forecast mln stg central bank made purchas bank bill outright compris mln stg band pct mln stg band pct addit bought mln stg treasuri bill band pct
10080,bp lt bp offer rais expect oil valu british petroleum plc plan pay billion dlr half standard oil signal higher valu oil patch analyst bp bid strong affirm clear signal confid barrel oil ground higher sanford margosh shearson lehman brother bp earlier today unit plan tender dlr share pct standard billion dlr price show opec won war oil price crack prescott ball turben analyst bruce lazier huge implic rest energi issu stock market acquisit target lazier mention lazier usx corp concern court investor carl icahn drew attent australian robert holm court year rumor continu swirl stock margosh forese major oil firm fall takeov situat year except possibl amerada hess corp lt ahc major found partner round matchmak end year ago restructur point unattract oil stock ralli respons offer exxon corp lt xon rose chevron corp lt chv jump texaco lt tx climb unoc corp lt ucl rose occident petroleum corp lt oxi climb amoco corp lt rose standard oil stock heavi trade earlier session high wall street specul british petroleum boost offer dlr share compani maintain rais dlr bid british petroleum stock rose analyst fact british petroleum made bid place british oil giant chang outlook oil industri analyst year british petroleum held bearish posit oil price real price oil stay dlr barrel year beat hasti retreat point view margosh appropri today optimist dlr heart heart exceed margosh benchmark crude west texa intermedi trade today dlr barrel analyst british petroleum buy rest standard oil dlr share oil price fall year standard oil brightest asset slightli pct ownership alaskan prudho bay oil field analyst compani interest alaskan north slope analyst standard invest extrem attract bp largest oil market reserv fit plan increas posit market dean witter analyst eugen nowak analyst rais bp visibl ahead british govern announc dispos pct bp stock govern dispos hold year begin april acquir standard bp reserv pct stock held sell stock move unit state market handl stock rothschild analyst rosario ilacqua standard oil net loss mln dlr revenu billion dlr compar profit year earlier mln dlr revenu billion dlr
10081,fed heller dollar level feder reserv board governor robert heller dollar current level declin comment widespread market report concert central bank intervent week dollar stabl current level level heller told report speech meet financi servic analyst month currenc accord pari includ target rang dollar academ heller earli determin parti accord take step carri econom adjust agre pari implement expect implement week earlier today treasuri assist secretari told senat bank subcommitte west germani japan carri intern respons
10083,falcon cabl system lt fal qtr loss shr loss dlr loss ct net loss mln loss rev year shr loss dlr loss ct net loss mln loss rev mln note net loss includ extraordinari loss qtr year ago extraordinari loss year year ago
10085,home save bank lt hmsb set initi quarterli home save bank board declar initi quarterli dividend ct share payabl april record april
10086,lt lpx sell sawmil corp plan sell sawmil lakeview oregon acr timberland ostrand construct compani transaciton shoould final earli april term disclos
10088,suburban bancorp lt subba merger approv suburban bancorp receiv approv feder reserv board acquir lt valley nation bank aurora undisclos price suburban receiv sharehold tender pct valley nation stock
10089,univers hold corp lt uhco qtr loss shr profit nil profit ct net profit profit rev year shr loss ct profit ct net loss profit rev mln note net includ capit gain qtr year current year net includ charg contract oblig chairman
1009,greas monkey hold corp lt gmhc year nov shr nil nil net rev
10090,freedom feder lt frfe recogn gain freedom feder save bank recogn earn previous defer mln dlr gain result sale apart complex recognit result repay loan grant complex sold
10091,pari meet set target bank england governor robin pari pact agre lead industrialis nation set nomin exchang rate target oral evid select committe swap number reach understand cooper stabil currenc current level accord brought britain form joint currenc float purs independ monetari polici conced louvr accord act louvr plaza accord show effect role group central bank oper stabilis exchang rate mention week intervent central bank support dollar market decid test accord effect cooper larger thought day septemb exchang rate level broadli sought nation note effect agreement leav market guess exchang rate level broadli sought nation note effect agreement leav market guess principl bank england favour full em membership sterl provid move endang monetari polici ask want interest rate lower half point cut month base lend rate prefer cautiou approach reduc short term interest rate potenti problem inflat underli inflat pct highest industrialis nation ad bank england want base rate fall unveil budget march pressur financi market move prove irresist base rate pct sterl relationship oil pound undervalu current oil price dlr barrel suggest level bank england sterl index compar index level oil price drop dlr level index base close today unchang previou close
10092,commerc clear hous lt cclr hike div qtli div ct ct prior pay april record april
10094,quantech electron corp lt qant qtr dec shr loss ct loss ct net loss loss rev mth shr loss ct loss ct net loss loss rev mln mln note prior year net includ loss discontinu oper dlr quarter dlr mth
10095,quantech lt qant addit fund quantech electron corp investig mean rais addit fund need financ continu oper assur succeed compani continu experi neg cash flow today report loss quarter end decemb dlr compar dlr loss year quantech receiv waiver marin midland bank lt mm coven loan agreement compani marin midland agre advanc addit work capit loan person guarante chairman henri ginsburg loan marin midland secur substanti compani asset quantech bernard weinblatt rsign presid director replac found ginsberg act chief execut leonard hecht chief execut act chief oper offic
10096,pda engin lt pda halt softwar shipment pda engin temporarili defer shipmetn patran softwar ibm comput due technic problem program compani deferr reduc thrid quarter revenu earn pda anticip resum shipment fourth quarter
10097,industri lt pfina qtr net oper shr ct ct oper net rev mln mln avg shr year oper shr ct ct oper net rev mln mln avg shr note net exclud tax credit dlr dlr quarter dlr dlr year share adjust revers split octob
10098,fair lane lt fair sharehold approv merger fair lane sharehold approv previous announc merger maricorp unit lt northern pacif corp term merger fair lane share common stock convert receiv share lt btr realti own fair line
10099,alli research associ lt arai year net shr ct ct net sale mln mln note backlog februari mln dlr mln dlr year
101,
1010,accept insur hold lt acpt year oper shr profit dlr loss dlr oper net profit loss rev mln mln avg shr note net exclud realiz invest gain dlr dlr net exclud dlr tax credit
10100,cardena see major decis ico meet jorg cardena manag coffe grower feder import decis emerg upcom meet intern coffe organ ico ico execut board set meet london march decid call special council session end april discuss export quota routin meet updat happen market major decis cardena told journalist earlier month talk london export quota suspend februari end failur colombian financ minist cesar gaviria talk report end weekli nation coffe committe meet posit brazil unit state prompt agreement quota brazil coffe chief jorio dauster yesterday brazil chang coffe polici cardena market situat clearer trade knew project output stockpil level produc ico statist shortfal mln bag world market octob start coffe year februari
10102,cb lt cbtb make acquisit cb bancshar board carrolton state bank carrolton approv merger cb undisclos amount stock subject approv regulatori agenc carrolton sharehold carrolton mln dlr asset
10105,american brand lt amb see higher qtr net american brand expect quarter net earn exceed record mln dlr dlr share earn quarter compani believ sale quarter surpass record sale billion dlr year compani unit sale american tobacco lucki strike filter line rose pct year led gain lucki franchis american brand introduc brand cigarett call malibu compani gallah unit strong perform contributor oper earn american brand
10106,usx lt talk end british petroleum usx corp chairman david roderick compani end talk british petroleum plc lt bp sale energi asset usx restructur plan oil busi termin discuss roderick told reuter speech petroleum equip supplier associ usx conduct talk buyer energi asset earlier today bp plan offer dlr share standard oil lt srd publicli held stock usx decemb compani held formal discuss bp potenti sale oversea oil asset usx receiv express interest half dozen oil compani roderick respons question usx plan restructur marathon oil texa oil ga corp usx plan sell pct interest giant yate field west texa maintain product yate field difficult time roderick ad respons question roderick australian investor robert holm court accumul usx stock recent day trader suggest holm court buy addit share roderick carl ichan termin billion dlr hostil takeov plan usx januari continu hold sizabl interest compani ichan appar pct bought stock sold roderick satisfi sharehold talk monthli speech roderick predict fall dollar set stage solv trade deficit problem total billion dlr expect earli run net trade surplu roderick worst forward stabil upward movement ahead usx chairman warn european trade partner resist turn trade deficit econom discomfort transfer unit state friend trade partner alli
10107,ny trader soviet made larg sugar purchas soviet union bought tonn raw sugar intern trade hous night sugar chang hand discount spot world sugar contract trade sourc japanes trade hous sold cargo thai sugar nearbi deliveri british trade hous sold remain cargo shipment trader week sharp fall world sugar price help provok soviet union cover nearbi yesterday spot sugar close cent pound
10108,martin lawrenc limit edit lt mlle year net shr ct ct net rev mln note qtr data
10109,commonwealth energi system lt ce dividend qtli div ct ct prior qtr payabl record april
1011,minstar lt mnst qtr net oper shr loss ct loss ct oper net loss loss rev mln mln avg shr mln mln year oper shr loss ct profit ct oper net loss profit rev mln mln avg shr mln mln note oper net loss exclud incom discontinu oper equal ct quarter ct year compar dlr quarter dlr respect period oper net loss exclud extraordinari charg ct quarter ct year oper net profit exclud extraordinari gain ct
10110,transworld trust lt twt set initi pay date transworld liquid trust distribut proce sale hilton intern ual lt ual holder april deal expect close march day trade ceas liquid trust share ual pay mln dlr cash share ual common stock mln dlr worth ual debentur transworld substitut cash secur initi distribut includ cash stock debentur receiv connect sale compani share trust repres share transworld corp common stock compani balanc cash trust satisfi liabil oblig trust satisfact payment compani make distribut april
10112,lt vote extra payout board vote extraordinari cash dividend common stock ct share payabl record april compani paid extraordinari dividend ct
10114,home lt uh see qtr home corp quarter end march profit quarter compani record profit dlr quarter quarter result loss dlr dlr dlr compani home declin put specif figur net earn come quarter record profit news home sharehold approv amend compani certif incorpor relat liabil compani director
10115,rockefel center properti lt rcp up payout rockefel center properti rais quarterli dividend ct ct share dividend payabl april sharehold record april
10119,sandustri plastic lt spi qtr net shr ct ct net rev mth shr ct ct net rev mln mln note year includ extraordinari gain ct share
10120,china switch wheat china switch purchas wheat total tonn season began june season deliveri agricultur depart depart outstand wheat sale china current season amount tonn sale deliveri season amount tonn total corn commit season total tonn depart
10122,cocoa chairman work buffer compromis intern cocoa organ icco council chairman deni bra kanon continu work compromis plan icco buffer stock buy cocoa consum deleg consum deleg bra kanon formal present compromis plan produc consum friday widespread confid result outstand item reach friday council session due end consum bra kanon complet bilater consult deleg today main stick point draft buffer stock rule packag deleg want discuss amount cocoa buffer stock permit buy differenti origin cocoa limit buffer stock purchas nearbi forward materi deleg buffer stock work group final remain buffer stock rule minor modif origin draft buffer stock packag produc week deleg icco council due elect execut director reconven friday produc deleg produc intend present singl candid post edouard kouam ivori coast earlier exist execut director kobena erbynn ghana expect withdraw deleg execut committe due meet friday gmt council reconven late friday consum
10124,franc fight ec farm propos minist french agricultur minist francoi guillaum warn franc flatli reject propos reform european commun ec cereal sugar oilse sector disrupt market ec commiss propos shorten intervent period lower monthli premium cereal increas financi burden sugar produc result lower real price produc told farmer give word franc reject technic adjust discuss simpli repli neg bad reform guillaum told annual confer countri major farm union fnsea feder national de syndicat dexploit agricol commun agricultur minist due meet monday agre packag reform curb spiral ec output fix farm price relat govern farmer strain franc recent month sporad frequent demonstr farmer protest sharp fall meat pork price cutback commun milk output guillaum warn reject reorganis ec cereal sugar market franc major produc crop won warm applaus fnsea farmer pledg fight ec propos push complet dismantl system cross border tax design smooth currenc differ monetari compensatori amount mca avoid protest produc farm leader raymond lacomb union plan ahead seri major protest franc abroad ec commiss propos overhaul farm sector minist propos back determin organis union action come week told report ad act guillaum favour ministeri level guillaum head fnsea year appoint farm minist spring lacomb refus farmer felt guillaum good job farm minist advanc cut product cost reduc fiscal cost award drought aid area farmer indebted guillaum told confer govern make billion franc mln dlr produc reduc milk output encourag older farmer retir govern announc financi aid milk sector clear packag announc today aid lacomb
10128,financi lt ffmc buy confidata financi manag corp acquir confidata corp unit lt north ridg bank pay dlr cash pledg guarante dlr confidata note held north ridg financi data process servic commun bank financi institut acquisit expand custom base
10129,combust engin lt csp unit buyout combust engin environment system servic unit agre principl acquir lt jordan privat held firm base portland term acquisit mot disclos combust engin environment environment scienc manag servic sale mln dlr
1013,lt mark resourc year loss shr loss mln rev mln note prior year result result includ account pct own lt precambrian shield resourc acquir novemb
10130,pepco lt pom mth feb net shr ct ct net mln mln rev mln mln mth shr dlr dlr net mln mln rev billion billion note full potomac electr power year includ extraordinari gain mln ct share june sale compani virginia servic territori virginia power
10135,italian gdp pct unemploy rise extract report itali budget ministri countri econom develop show gross domest product gdp pct higher real term rise unemploy gdp calcul price rose billion lire year billion current price basi gdp pct total billion lire billion growth insuffici prevent rise unemploy pct year pct ministri report fall oil price depreci dollar favour countri itali factor help itali cut inflat averag pct pct help major improv trade balanc basi data recent recalcul nation statist institut istat itali trade deficit billion lire report slightli revis previou deficit figur billion issu istat compar neg balanc billion
10136,
10139,ferruzzi pari unit absorb cpc purchas sourc close itali lt gruppo ferruzzi lt european sugar franc french compani own ferruzzi control lt cpc industri divis corn wet mill busi acquir italian group earlier week cpc intern lt cpc sourc told reuter european sugar own ferruzzi subsidiari eridania zuccherifici nazionali spa lt plan seek list pari bours make share offer cpc intern announc tuesday agre principl sell european corn wet millng busi ferruzzi deal worth mln dlr
10140,decis industri lt dic see qtr loss decis industri corp expect report oper loss ct share quarter end march due lower profit margin higher sale market cost quarter year compani quarter end feb earn dlr ct share revenu mln dlr decis enter agreement sell intern computer telemarket subsidiari investor group head unit senior manag term disclos decis consolid decis develop corp subsidiari decis data comput corp unit design manufactur sell peripher product restructur advers affect quarter earn expect realiz signific save oper expens remaind year
10146,lomak lt lomk strata lt strata merger pact lomak petroleum strata corp base columbu ohio jointli enter merger agreement strata wholli own subsidiari lomak merger term strata sharehold receiv ct share strata common warrant buy share lomak common ct share decemb strata common share merger subject approv compani board sharehold agreement strata creditor thing compani
1015,transform logic lt toog revis result downward transform logic corp revis downward previous report fourth quarter year end octob result reflect compens expens employe stock option compani resolut disagr auditor result secur exchang commiss involv compani amend procedur conform sec decis elimin futur charg ad transform fourth quarter profit revis dlr ct share previous report dlr left compani fiscal loss dlr ct share report dlr profit
10151,california micro lt camd grumman lt gq set pact california micro devic corp sign agreement grumman corp tachon corp unit develop product gallium arsenid seminconductor chip pact california micro devic design chip tachon manufactur initi product develop gate array gate complex radiat harden capabl compani
10153,busi loan fall mln dlr march week fed busi loan fall mln dlr march week fed
10154,commerci paper rise mln dlr march week fed commerci paper rise mln dlr march week fed
10155,york busi loan fall mln dlr commerci industri loan book major york bank exclud accept fell mln dlr billion week end march feder reserv bank york includ accept loan fell mln dlr billion commerci paper outstand nation rose mln dlr billion nation busi loan data schedul releas friday
10156,bank discount borrow nil week major york citi bank borrow feder reserv week end wednesday march fed spokesman half bank statement period end wednesday bank borrow week period
10158,americantur lt aaix buy american adventur americantur purchas american adventur lt goaqc cash assumpt liabil issuanc american adventur common prefer stock creditor sharehold member acquisit pursuant chapter reorgan plan american adventur compani transact involv asset valu mln dlr
1016,american store lt asc see lower year net american store expect report earn share dlr share sale slightli billion dlr year end januari supermarket chain earn dlr share sale billion dlr year compani elabor
10162,campbel soup lt cpb set quarterli dividend qtli div ct ct pay april record april
10163,equit resourc lt eqt regular payout qtli div ct ct prior pay june record note current dividend equival previou quarterli dividend ct share give effect stock split effect march
10165,electrosound group lt esg qtr feb loss oper shr loss ct loss ct oper net loss loss rev avg shr mth oper shr profit ct profit ct oper net profit profit rev mln mln avg shr note oper exclud tax loss qtr tax credit mth
10168,bp lt bp rais bid analyst british petroleum plc rais plan dlr share tender offer publicli trade share standard oil lt srd analyst lot specul someway forc bid rosario ilaqua rothschild bp manag director david simon denial today bp rais offer analyst remain distinct possibl analyst base think royal group lt lt sc bid buy outstand stake shell oil royal eventu rais initi dlr share offer dlr share lawsuit minor sharehold higher eventu royal higher shell oil minor share bruce lazier prescott ball turben estim price dlr share royal offer dlr share pct shell oil januari object minor sharehold price royal rais bid began dlr share tender offer april sharehold su court block complet offer month wrangl worth shell oil royal agre dlr increas end pay billion dlr outstand shell oil stake signific premium origin bid billion dlr analyst made comment simon remark bp press confer york afternoon sanford margosh shearson lehman brother told client morn sweeten offer analyst bid rais dlr share analyst expect regulatori hurdl royal group preced sharehold lawsuit reason goldman sach bp invest advisor advis shell oil board
1017,kasler corp lt kasl qtr jan net shr profit ct loss ct net profit loss rev mln mln
10171,viacom lt set record date merger vote viacom intern set april record date sharehold entitl vote special meet held vote propos merger arsen acquir corp subsidiari lt arsen hold viacom date special meet determin
10172,grain shipment ussr usda shipment grain soybean soviet union week end march agricultur depart latest export sale report ussr purchas mln tonn corn deliveri fourth year grain agreement total shipment year grain agreement end septemb amount tonn wheat tonn corn tonn soybean
10173,courier lt crrc see quarter loss courier corp expect report small loss fiscal quarter profit dlr year ago compani attribut loss competit pressur cut gross margin addit incur signific expens manag program aim reduc cost boost product murray print unit undertaken program extend work hour salari job cut save mln dlr annual
10174,continu care associ lt conc qtr net shr ct ct net rev mth shr ct ct net rev note qtr qtr prior includ tax gain year year prior includ tax gain
10175,usda comment export sale report corn sale tonn week end march highest level agricultur depart depart ussr domin week activ purchas mln tonn earlier report daili report system larg increa post japan unknown destin taiwan purchas tonn season tonn season wheat sale tonn current season tonn season preced week averag wheat sale china tonn switch season note soybean sale tonn pct prior week averag japan netherland mexico portug main buyer depart soybean cake meal sale tonn previou week largest market year venezuela domin purchas sale activ soybean oil result decreas tonn reduct unknown destin offset increas canada dominican republ panama depart cotton sale run bale bale current year bale season pct previou week pct averag turkey thailand south korea canada major buyer current season thailand britain japan major purchas upcom season depart sorghum sale tonn prior week pct averag venezuela lead buyer sale tonn barley time previou week pct greater averag israel cypru saudi arabia main buyer
10176,money suppli rise billion dlr march week fed money suppli rise billion dlr march week fed
10177,bank discount borrow averag mln dlr day march week fed bank discount borrow averag mln dlr day march week fed
10178,bank net free reserv mln dlr week march fed bank net free reserv mln dlr week march fed
10180,valley feder lt vfed split stock valley feder save loan associ board declar stock split common stock split effect form pct stock dividend issu april stockhold record march
10181,atcor lt atco cut dividend atcor cut quarterli dividend ct share ct depress earn dividend payabl april holder record april continu review dividend quarterli basi
10183,money suppli rise billion dlr money suppli rose billion dlr season adjust billion dlr march week feder reserv previou week level revis billion dlr billion move averag rose billion dlr billion economist poll reuter rise mln dlr billion dlr averag forecast call billion dlr increas
